Syllable/Combination,汉字
yi2|214,㕈㠖㠯㢊㫊㰝㰻䉝䚷䝝䡾䧇䧧䭲䰙乙以佁依倚偯叕叹奇嬟尾崺嶬已巳庡扆扡掎攺敼旑旖椅檥歖汽猗矣硪礒笖綺臆舣艤苡苢蚁蛾螘蟻裿譺踦輢轙迆迤逘酏醫醷釔鈘鉯錡钀钇陁陭雉靉顗鳦齮
yi3|51,㐹㑊㑜㑥㓷㔴㖂㘁㘈㘊㙠㙪㙯㚤㛕㛳㜋㜒㝣㡫㡼㢞㣇㣻㦉㦤㱅㱞㱲㲼㳑㴁㴒㴔㵝㵧㵩㶠㹭㽈䁺䄁䄩䄿䆿䇩䇼䉨䋚䋵䌻䎈䏌䑄䓃䓈䓹䔬䕍䖁䖊䖌䗑䗟䗷䘝䘸䝘䝯䢃䣧䦴䬥䭂䭇䭞䭿䯆䰯䱛䳀䴬䴰䵝一丿乂义乙亄亦亿仡伇伿佚佾俋億儗兿刈劓劮勚勩匇医印厭呓呭呹唈喦嗌噎噫囈圛圪坄垼埶埸墿夕失奕妷嫕嬑嬟孴寱射屹峄嶧帟帠幆廙异弈弋役忆忔怈怿悒悘悥意憶懌懿抑挹掜搤撎擇敡斁施易昳晹曀曎杙枍枻栧栺棭榏槷槸樴檍欥欭歝殔殪殹毅泄泆洩洫浂浥浳渫湙溢潩澤澺瀷炈焬焱焲熠熤熼燚燡燱獈玴異疙疫痬瘗瘞瘱癔益睪瞖硛秇移穓竩紲絏縊繄繶繹绎缢羛義羿翊翌翳翼耴肄肊膉臆艗艺艾芅苅萟蓺薏藙藝蘙虉蛡蜴螠衣衵袂袘袣裔裛褹襗襼訲訳詍詣誒誼謚譯議譺讛议译诣谊豙豛豷貖貤賹贀跇踦軼輗轶辥迭逸邑醳醷釋釴鈠鎰鐿镒镱阣陭隶隿霅霬靾食饐駅驛驿骮鮨鯣鶂鶃鶍鷁鷊鷖鷧鷾鹝鹢黓齸
bi1A|55,㡙㯅䚜䫾䮠偪媲屄幅悂楅榌毴皀笓箄紕螕豍逼鈚錍鎞鰏鲾鵖
bi1B|35,䨆䵄䵗嬶荸鼻
bi2|214,㚰㠲㪏㻶䃾䏢䘡䠋䣥佊俾匕卑吡啚夶妣娝崥彼捭朼枇柀比沘疕秕笔筆箄粃紕罷聛肥舭芘貏鄙鈚魮
bi3|51,㓖㘠㘩㙄㡀㢰㢶㢸㧙㪤㮿㯇㱸㳼㵒㻫㿫㿰䀣䁹䄶䉾䊧䋔䌘䌟䎵䏟䏶䕗䖩䟆䟤䠋䧗䩛䪐䫁䫾䬛䮡䯗仳佖佛俾卑吡咇哔嗶坒埤堛壁奰妼婢嬖币幣幤庇庳廦弊弻弼彃必怭怶愊愎拂敝斃旇服枇枈柲梐椑檗殍比毕毖毙泌波湢滗滭潷濞煏熚狴獘獙珌璧畀畁畐畢疪痹痺皕睤瞥碧祕禆秘稫笓筚箄箅箆篦篳粊紕紴綼縪繴罼翍肶肸胇脾腷臂芘苾茀荜萆萞蓖蓽蔽薜蘗虑蜌袐被裨襅襞襣觱詖诐貱費賁贔贲赑跛跸踾蹕躃躄辟避邲鄨鄪鉍鏎鐴铋閇閈閉閟闭陂陛陴鞁鞞鞸韠飶饆馝馥駜驆髀髲魓鮅鮩鴓鶝鷝鷩鸊鼊
ci1A|55,䖪偨刺呰呲啙姕嵯差柴玼疵縒蠀趀跐骴髊齹
ci1B|35,㓨㘂㘹㞖㤵䂣䈘䛐䧳䨏䭣䲿䳄兹司呲垐堲嬨慈枱柌次滋澬濨珁瓷甆磁礠祠粢糍胔茈茨茲薋薺詞词辝辞辤辭鈶雌飺餈鴜鶿鷀鹚
ci2|214,㠿佌姕此泚玼皉茈跐鮆
ci3|51,㐸㞖㢀㩞㾊䓧䗹䯸䰍䳐伺佽刺刾庛廁措朿栜栨次絘茦莿蚝蛓螅螆賜赐趑
chi1A|55,㰞㷰㺈䄜䇪䜉䧝侙吃哧喫嗤噄噭妛媸彨彲抬摛摴攡樆瓻痴癡眵瞝离笞粚絺胝胵脪蚩蚳螭訵誺郗離魑鴟鵄鸱黐齝
chi1B|35,㓾㙜㞴㢮㮛㾹䙙䜄䞾䪧䮈䶔䶵俿匙坻墀她岻弛徲持提柢歭汖池沱沶治泜漦狋祇穉竾筂箈箎篪耛芪茌茬荎莉菭蚳蛇蝭謘謻貾赿趍跢踟踶軧迟迡遅遟遲邌鍉馳驪驰鶗
chi2|214,㘜㢁㢋㱀㶴䊼䏧䑛䜵䜻侈卶叺呎哆垑奓尺恥扡拖拸搋欼歯移紕耻肔胣蚇袲袳裭褫誀誃豉鉹齒齣齿
chi3|51,㑜㒆㓼㔑㞿㡿㥡㩽㽚䀸䟷䠠䤲䮻䰡䳵佁傺剟勅勑卙叱呬呹哆啻喜嘯彳恜慗慸憏懘抶拆捇敕斥杘柅湁滯灻炽烾熾痓痸瘈瘛眙硳翄翅翤翨腟訵誃赤趐趩跅跮踅迣遫鉓銐雴飭飾饎饬騺鳷鵣鶒鷘
chi5,麶
di1A|55,㓳㫝䃅䍕䐎䧑䩚䪘仾低啲嘀埞堤奃彽提樀氐渧滴牴的碮磾羝袛趆鍉鏑镝隄鞮
di1B|35,㣙㰅㹍䊮䨀䨤䯼䴞䵠儥唙嘀嚁嫡廸扚敌敵杓梑樀櫂浟涤滌狄的笛篴籴糴翟肑苖荻莜蓧蔋蔐藋藡覿觌豴踧蹢迪逐適鍉鏑镝靮頔馰髢鬄魡鸐
di2|214,㪆㭽䂡䍕䏄䢑䣌厎呧坘坻堤底弤抵拞掋提柢楴氐牴砥聜茋菧觝詆诋軧邸阺骶鯳
di3|51,㢩㦅㼵䀿䏑䐭䑭䑯䗖䞾䟡䢑䩘䩚䱱䶍俤偙僀勺哋啇啻地坔埅埊墆墑墬娣媂嵽嶳帝弔弟怟慸掋揥摕旳杕枤柢梊棣渧焍玓珶甋疐的眱睇碲祶禘第約締缔胝腣芍苐菂蒂蔕蚳蝃螮諟諦谛赿踶蹄递逓逮遞遰釱鉪隶題
ji1A|55,㚻㛷㞓㦘㫷㮷䀘䁶䂑䇧䇫䈕䐚䕤䗗䛴䟇䳶丌乩倚僟其几击刉刏剞勣卟叽呰咭唧喞嗘嘰圾垍基墼奇妓姫姬居屐嵆嵇幾庴憿懠撃撽擊攲敧朞期机枅棋槣樭機櫅毄汲激犄玑璣畸畿癪矶磯禨积稘稽積笄筓箕簊緝績绩缉羁羇羈耭肌脔芨苙萁蘄虀虮襀覉覊覘觭諅譏譤讥谿賫賷赍跂跡跻踑踦蹟躋躸迹鄿銈錤鐖鑇鑙隔隮雞鞿韲飢饑饥鳮鶏鷄鸄鸡齊齎齏齑
ji1B|35,㔕㗊㗱㘍㙫㞋㠍㠎㡮㤂㥛㧀㭲㲺㴕㸅㻷㽺㾊䁒䐕䚐䞘䟌䣢䩐䩯䯂䲯䳭乁亟亼亽伋佶偮卙即卽厝及叝吇吉圾堲塉姞嫉尐屰岋岌嵴嶯庴彶忣急愱戢揖揤极棘楖楫極槉橶檝殛汲洁淁湒潗濈焏狤疾瘠皀皍瞿秸笈箿簎籍級緝级耤胔脊脨膌艥艻莋蒩蒺蓻蕀蕺藉蜡蝍螏蠀襋覿觙諔诘谻趌趞踖蹐躤輯轚辑郅郆銡鍓鏶集雦雧霵革鞊鶺鷑鹡
ji2|214,㚡㞆㞛㞦㦸㧗㨈㴉䍤䢳䤒丮几妀嵴己幾戟挤掎撠擠極泲济濟犱穖紀給纪给脊虮蟣蟻踦颳魕魢鱾麂
ji3|51,㑧㒫㓹㙨㞃㠱㡭㤅㥍㨳㮨㰟㲅㳵㸄㹄㻑㾵䀈䋟䐀䓽䗁䛋䜞䝸䠏䢋䤒䦇䨖䮺䰏䱥䶓䶩伎偈其兾冀剂剤劑哜嚌坖垍塈妓姼季寂寄峜帺幾廭彐彑徛忌悸惎懠懻技擊旡既旣暨暩曁梞檕檵櫅櫭汥洎济済漃漈濟瀱猗璾畟疵痵瘵癠睽瞉祭禝禨稩稷穄穊穖穧粢系紀紒結継繋繫繼纪继绩罽肌臮芰茍茤荠葪蓟蔇薊薺蘎蘮蘻蟿裚襀覬觊計訐記誋諅计记跽踑迹际際霁霽騎驥骥髻鬾魝魥鮆鯚鯽鰶鰿鱀鱭鲚鲫鵋齊齌齍齐
li1A|55,哩
li1B|35,㒿㓯㛤㠟㦒㰀㰚㴝㷰㹈䄜䅻䉫䊍䋥䍠䍦䔆䔣䔧䖥䖽䖿䙰䣓䣫䱘䴻䵓䵩丽儷刕剓剺劙厘喱嚟囄嫠孋孷廲悡斄杝柂梨梩梸棃樆氂漓灑灕犁犂犛狸琍璃瓈盠睝矖离穲竰筣篱籬糎縭纚缡罹艃荲莉菞蓠蔾藜蘺蜊蟍蠡蠫褵謧貍邌酈醨釃釐鋫錅鏫鑗離霾驪骊鯏鯬鱺鲡鵹鸝鹂麗黎黐黧
li2|214,㸚㾖䗍䤚䧉俚兣哩娌峛峢峲悝李欐欚浬澧理礼禮粴纚蟸蠡裏裡豊逦邐醴里鋰锂離鯉鱧鱺鲤鳢麗礼
li3|51,㑦㒧㔏㕸㗚㘑㟳㠣㡂㤡㤦㧰㬏㮚㯤㱹㸚㺡㻎㻺㼖㽁㽝㾐㿛㿨䁻䃯䅄䇐䊪䍥䍽䓞䔁䔉䕻䘈䚕䟏䟐䡃䣓䤙䥶䬅䬆䮋䮥䰛䰜䲞䴡䶘丽仂位例俐俚俪傈儮儷凓列利力励勵历厉厤厯厲叓叕叻吏呖哩唎唳嚦囇坜塛壢娳婯孋屴岦巁悧悷慄戾扐扚捩搮擽攊攦攭暦曆曞朸枥栃栎栗栛棙檪櫔櫟櫪欐歴歷沥沴泣浰涖淚溧濼濿瀝爄爏犡猁珕珞瑮瓅瓑瓥疠疬痢癘癧皪盭砅砬砺砾硌磿礪礫礰禲秝立笠篥粒粝糲綟纅翮脷苈苙茘荔莅莉蒚蒞藶蚸蛎蛠蜧蝕蝷蠇蠡蠣觻詈讈赲跞躒轢轣轹郦酈鉝銐錑鎘鑠隶隷隸離雳靂靋颯鬁鬲鬴鱱鱳鳨鴗鷅麗麜
li5,哩瓈里
mi1A|55,咪眯瞇
mi1B|35,㜷㟜㣆㸏䉲䊳䌕䍘䕳䕷䛧䤍䥸䴢冞劘弥彌戂摩摵擟攠檷濔瀰爢猕獮獼瓕眯瞴祢禰穈籋糜縻蒾蘼袮詸謎谜迷醚醾醿釄镾靡鸍麊麋麛麿
mi2|214,㝥㠧㥝㳽䋛䖹䭧䱊侎咪孊弭彌敉沵洣渳濔瀰灖爾眫眯瞇米粎羋脒芈葞蔝辟銤靡
mi3|51,㜆㨠㩢㫘㳴㴵㵋㵥㸓䁇䈼䈿䌏䌐䖑䛑䣾䤉䮭冖冪嘧塓宓宻密峚幂幎幦幺榓樒櫁汨沕泌淧溟滵漞濗熐眯眽瞇祕秘簚糸羃苾蓂蔤藌蜜覓覔覛觅謐谧迷鑖鼏鿹
ni1A|55,呢妮
ni1B|35,㞾㪒㹸䘦䘽䛏䝚伲倪兒呢坭埿妮婗尼屔彌怩抳棿泥淣猊秜籾聣腝臡蚭蛪蜺觬貎跜輗郳鈮铌霓鯢鲵麑齯
ni2|214,㘈㩘䕥䘦䛏䦵伱伲你儗儞呢妳婗孴尼懝抳拟掜擬旎昵晲柅檷泥濔瀰爾狔祢禰聻苨薿譺鈮鉨鑈隬馜鿭
ni3|51,㠜㥾㦐㮏㲻㵫䁥䘌䛏䵑䵒伲倪匿埿堄嫟嬭嬺孨孴屰嶷惄愵慝懝抐昵暱氼泥溺濘灄痆眤睨秜縌胒腻膩誽迡逆
pi1A|55,㨢㱟䇑䤵䪹䫠䯱丕伓伾劈噼坏坯培妚帔怶悂憵批披抷旇枇枈炋狉狓痦砒磇礔礕秛秠粃紕纰翍耚苤螕被豾辟邳釽鈈鈚鈹鉟銔錃錍鎞铍闢霹駓髬魾鮍
pi1B|35,㓟㔥㮰㯅㼰䲹䴽仳卑啤埤壀奊媲岯崥庇庳批朇枇椑比毗毘毞焷狓猈琵番疲皮笓篦篺紕罴罷羆肶脾腗膍芘蕃蚌蚍蚽蚾蜱螷蠯裨豼貔郫鄱鈹錍铍阰陂陴隦鞞頗魮魾鮍鲏鵧鼙
pi2|214,㱟䑀䚰䚹䤏䫌䰦仳劈匹吡否噽嚭圮嶏庀庇悂擗比疋痞癖脴苉諀銢鴄
pi3|51,㨽㳪㵨㽬㿙䏘䑀䑄䠘䡟䤨䦼䴙俾僻副嚊埤媲嫓屁扑拂揊淠潎澼濞甓疈睥稫罷脾萆薜被譬辟釽鈲闢鷿鸊
qi1A|55,㠌㥓㩻㬤㯃㱦䗁䗩䣀䣛䥓䥢䫏䫑䳶七倛傶僛凄吃喰嘁妻娸宿恓悽慼慽戚捿攲朞期柒栖桤桼棲榿槭欹欺沏淒溪漆碕磎磜紪緀緝缉萋蛣螇褄諆諿踦蹊迉郪鏚霋魌鶈鸂
qi1B|35,㖢㟓㟚㟢㩽㩾㯦㰗䄢䅩䅲䉻䐡䑴䓅䓫䞚䟚䡋䧵䩓䭶䭼䰇䱈䲬䳢䶒䶞七丌亓亝伎俟倛其剘勤圻埼奇岐岓崎嵜帺幾忮忯愭懠扺技抵掑支斉斊旂旗枝棊棋檱櫀歧淇濝濟猉玂琦琪璂畦畸疧碁碕示祁祇祈祺禥禨稘竒簱籏粸綥綦綨纃耆肵脐臍艩芪荠萁萕蕲薺藄蘄蚑蚔蚚蛴蜝蜞螧蟣蠐衹褀觭跂踑軙軝逗鄿釮錡鐖锜隑頎颀饑騎騏騹骐骑鬐鬾鬿鮨鯕鰭鲯鳍鵸鶀麒麡齊齐
qi2|214,㒅㠱㫓㾨䄎䄫䋯䎢䏿䒻䔇䛴䡔䭫䭬乞企启呇唘啓啔啟婍屺岂崎己敧晵杞梩棨气玘盀碕稽綮綺绮芑袳裿觭諬豈起跂邔闙齮
qi3|51,㞓㞚㣬㮑㰟㼮䀙䁈䁉䅤䇍䌌䏅䏌䏠䒗䔾䙄䚉䚍䟄䟷䢀䥛䩯䫔䬣䯥䰴乞亟伎倛偈切刺吱呮咠唭噐器夡契妻弃忔忾恝悽愒愾憇憩扢扱挈揭摖暣栔棄槭欫气気氣汔汽泣洓湆湇滊漬炁焏甈甭盵矵砌碛碶磜磧磩礘絜綦緝罊肐舙芞葺薺蟿訖讫趞趿跂踖躩迄鼜
qi5,簯緕缼
ri3|51,䒤囸日氜釰鈤馹驲
si1A|55,㒋㟃㠼㴲㺇㺨㽄䇁䔮䡳䫢䲉丝俬偲傂凘厮厶司咝嘶噝媤廝徙思恖愢撕斯析楒榹泀澌燍磃禗禠私簛籭糸糹絲緦纟缌罳菥蕬虒蛳蜤螄螔蟖蟴謕鉰銯鋖鍶鐁锶颸飔騦鷉鷥鸶麗鼶
si2|214,偲愢死
si3|51,㕽㚶㣈㭒㮐㸻㹑䇃䎣䏤䒨䦙亖以伺似佀佁価俟儩兕台司嗣四姒娰孠寺已巳杫枱柶梩汜泗泤洍涘瀃牭祀祠禩竢笥耜肂肄肆蕼覗貄逘釲鈶鈻銉雉食飤飴飼饲駟騃驷
si5,厕廁
shi1A|55,䌤䌳䏉䗐䙾䴓厔呞嘘失尸屍师師施浉湤湿溮溼濕灑狮獅瑡箷篩絁葹蒒蓍虱蝨褷襹訑詩诗邿酾釃釶鉇鉈鍦魳鯴鰤鲺鳲鳾鶳鸤
shi1B|35,㖷㫑㵓䂖䄷䈕䖨䦹䲽䶡乭什十埘堤塒姼实実宲寔實峕嵵拾提时旹時榯汁湜溡炻石示祏竍莳蒔蚀蝕識识辻遈鉐食飠饣鮖鰣鲥鼫鼭
shi2|214,㕜㢁㹬㹷䂠䒨乨使兘史始宩屎彖斯施榁狶痑矢笶豕鉂駛驶
shi3|51,㒾㔺㱁㳏㸷㹝䁺䊓䏡䛈䜴䟗䤭䤱䦙䩃䭄䰄世丗亊事仕似侍冟势勢卋叓呩咶唑啇嗜噬埶士奭媞嬕室寺屍峙崼市式弑弒徥忕忯恀恃惿戺拭挈揓是昰枾柹柿栻楴檡殖殺氏沶液澤澨烒煶狧畤眂眎眡睗示礻秲筮簭繹耆肢舍舐舓莳蒔螫褆襫視视觢試誓諟諡謚識识试谥豉貰贳赫跩踶軾轼适逝遞適遰遾郝醳釈释釋鈰鉃鉽銴鍉鎩铈飭飾餙餝饰馶鰘齛
shi5,佦匙殖篒籂
ti1A|55,㔸䏲䖙䢰䴘体剔擿梯睇踢銻锑體鵜鷈鷉
ti1B|35,㖒㖷㡗㣢㥴䄺䅠䈕䔶䚣䛱䨑䬫䬾䱱偍厗啼嗁堤姼媂媞崹徲惿折提是桋梯渧漽珶瑅睇碮磃禵稊穉綈緹绨缇罤苐荑蕛虒蝭蟬褆諦謕趧踶蹄蹏遆醍銻鍗隄題题騠鮷鯷鳀鴺鵜鶗鶙鷤鹈
ti2|214,䌡䣽䪆䶏体徥挮衹躰軆醍骵體鮧
ti3|51,㗣㬱㯩䎮䙗䣟䣠䩟䯜䶏䶑俶倜剃剔啑嚏嚔奃屉屜屟弟悌悐惕惖戻挮掦揥替朑棣楴歒殢洟涕狄瓋笹籊綈绨肆薙裼褅詆趯躍达逖逷適錫鐟髰鬀鬄
xi1A|55,㓾㕃㕧㗩㗭㘊㚀㛓㛫㛭㜎㜯㩉㩦㪧㬛㮩㯕㰻㰿㱆㱤㲸㴧㶉㶼㺣㾷㿽䁯䂀䏩䐅䐖䒊䖒䖷䙵䚙䚿䛊䛥䟇䣛䧿䨛䨳䭒䯜䳶䵱䶋俙傒僖兮凞卤卥厀吚吸咥咦咭唏唽喜嘻噏夕奚娭媐嬆嬉屎屖嵠嶲巂巇希徆徯忚怸恓息悉悕惁惜憘憙戲扱扸撕昔晞晰晳暿曦析栖桸棲榽樨橀欷歙氥汐浠淅渓溪潝烯焁焈焟焬煕熄熈熙熹熺熻燍燨爔牺犀犠犧狶猎獻琋瘜皙睎瞦矽硒碏磎礂禧稀穸窸粞糦緆縘繥羛義羲翕翖肸肹脅腊膝舾茜莃菥蒠虒蜤蜥螅螇蟋蠵裼西覀觹觽觿訢詑誒譆谿豀豨豯貕赥蹊遟邜郗鄎酅醯釐釸錫錯鏭鑴锡隵雟餏餙饻鯑鱚鵗鸂鼷
xi1B|35,㔒㠄㦻㩗㽯㿇䏮䒁䚫䫣习喺媳嵇嶍席徯擊椺槢檄漝濕習莔蒵蓆薂蜴蝷袭褶襲覡觋謑謵趘郋鎴隰雭霫飁騱騽驨鰓鰼鳛鼳
xi2|214,䈢䢄喜囍壐奊嬉屣徙憘憙暿杫枲橲歖洒洗漇灑玺璽瓕矖禧縰纚葈葸蓰蟢諰謑蹝躧釐鈢鉨鉩銑铣鱚鿭
xi3|51,㑶㙾㚛㜎㞒㣟㤅㤸㦦㨙㭡㰥㱇㴔㸍㾙㿇䀌䈪䊠䐼䓇䙎䚷䛥䜁䧍䨳䬣䮎䲪䵱係傒匸卌卻呬呰咥嚊嚱塈墍屃屭忥怬恄愾慀戏戯戱戲摡既椞欪欯氣滊潟澙熂犔盻矽磶禊稧系細綌繫细绤舃舄蒵蔇蕮虩衋覤謚赩趇郄郤釳鈒闟阋隙隟霼餼饩鬩黖
zi1A|55,㠿㬐㰣㽧㿳䅔䆅䎩䖪䣎䰵乲仔兹吱呲咨嗞姕姿孖孜孳孶崰嵫栥椔次淄湽滋澬玆璾甾疵禌秶稵粢紎純緇缁芓茊茲菑葘薋觜訾諮谘貲資赀资赼趑趦載輜輺辎鄑鈭錙鍿鎡锱镃頾頿髭鯔鰦鲻鶅鼒齊齍齜龇
zi1B|35,䁒蓻
zi2|214,㜽㞨㧗㺭㾅䔂䘣䦻仔吇呰啙姉姊子杍梓榟橴沝泚滓矷秄秭笫籽紫耔胏芓茈虸訾訿跐釨鋅
zi3|51,㧘㰷㱴䅆䐉事倳剚姿字恣柴洓渍漬牸眥眦秄穧胔胾自芓茡荢菑資輜
zi5,子
zhi1A|55,㩼㯄㲍㴯㸟㽻䃽䓋䓜䓡䛊䝷䞠䟡䣽䧴䵹之倁卮只吱呮坧媞巵戠指掷搘擲支智枝枳栀栺梔椥榰氏氐汁汥泜疷知祇祗祬禔秓秖秪稙綕織织肢胑胝脂臸芝菭蘵蜘衹衼跂躓隻馶鳷鴲鼅
zhi1B|35,㙷㜼㥀㨁䐈䟈䵂侄値值嗭埴執墌妷姪嬂慹戠执拓指摕摭植樀樴殖淔漐犆瓡直禃秇絷縶聀职職膱臷蟙贄跖踯蹠蹢躑軄酈釞鉄馽
zhi2|214,㕄㡳㡶㧗㫑㮹㲛䅩䇛䌤䛗䤠䳅凪劧厎只咫址坁夂帋徵怾恉扺抧抵指旨杫枳栺止汦沚洔淽疻砋砥祁祇祉积筫紙絺纸耆脂芷茋茝藢蚔衹襧觝訨趾軹轵酯阯黹
zhi3|51,㗌㗧㘉㛿㜱㝂㣥㨁㨖㲳㴛㿃䄺䆈䇧䇽䉅䉜䎺䏄䏯䐭䑇䓌䕌䖨䘣䘭䚦䚳䝰䝷䞃䡹䥍䦯䧝䩢䬹䭁䱃䱥䲀䳅之乿伎俧偫傂儨制剬劕厔咥嚔坁垁埃墆娡寘實峙崻帙帜幟庢庤廌彘徏徝志忮恃憄懥懫扻挃挚捗掷搱摨摯擲擳擿支斦旘昵晊晢智杝柣栉桎梽楖樲櫍櫛歭治泜洷滍滞滯潌潪瀄炙熫狾猘璏瓆畤疐痔痣瘈眰知礩示祑秩秲秷稙稚稺穉窒筫紩緻織置翐胵膣至致芖薙虒蛭螲袟袠製覟觗觯觶誌識识豑豒豸貭質贄质贽跱踬踶蹛躓軽輊轾迣遟遲郅銍銴鋕鑕铚锧阤陁陟隲雉駤騭騺驇骘鯯鳩鴙鶨鷙鸷鿵
zhi5,徔
ya1A|55,㝞㰳㳌㾎䃁䆘丫亞俹压厭吖呀哑啞圧垭埡壓婭孲庘押枒桠椏烏錏鐚铔閘雅鴉鴨鵪鵶鸦鸭
ya1B|35,㧎㴫㹞㾏䄰伢厑厓吾堐岈崕崖庌拁枒涯漄牙猚玡琊瑘疨睚笌芽蚜衙邪釾雅顔齖
ya2|214,㿿䪵厊哑唖啞婭庌掗疋痖瘂蕥雅鴉
ya3|51,㝞㤉㧎㰳䀴䀹䅉䝟䢝䦪䫔䰲䵝亚亜亞俹劜压呾圔圠埡堊壓姶娅婭御挜掗揠札枒椻歇氩氬浥潝牙犽猰玡砑碣磍稏穵窫聐襾訝讶軋輅輵轧迓錏齖齾
ya5,㗇乛呀
dia2|214,嗲
jia1A|55,㚙㹢䂟䇲䕒䴥乫伽佳傢加咖嘉埉夹夾宊家抸拁挟挾擖枷梜椵毠泇浃浹犌猳珈痂笳筴糘耞腵茄葭袈袷裌豭貑跏迦鉫鉿鎵镓駕麚鿼
jia1B|35,㕅㪴㮖㿓䀫䀹䕛䘥䛟䩡唊圿夹夾岬忦恝戛戞扴拮挈揩揳猰絜荚莢蛱蛺袷裌跲郏郟鋏铗頡頬頰颊餄骱鴶鵊
jia2|214,䑝假叚呷嘏夏婽岬徦押斚斝暇柙椵榎槚檟玾甲瘕胛蝦賈贾鉀钾
jia3|51,㸦价假價嫁家幏架枷榢稼賈駕駱驾
jia5,家
lia2|214,俩倆
nia1A|55,㖸
qia1A|55,㤉㧎䶗佉愘抲掐揢搳擖葜袷
qia1B|35,䠍拤
qia2|214,䶗價卡峠跒酠鞐
qia3|51,㓞㓣㓤㡊㮫䁍䂒䈓䛩䨐䯊䶝冾咭圶客帢恰愘挈楬殎洽疴矻硈磍絜髂鮚
xia1A|55,㔠㗿㦆㰨㰰㾎䠍傄呀呷岈毳煆疨瘕瞎虲虾蝦谺閕颬魻鰕
xia1B|35,㗇㘡㛍㮫㰺㽠䒠䖎䖖䘥䛅䞩䦖䪗䫗䯟侠俠假匣叚呷嗑埉夾峡峽徦押捾搳敮斜暇柙欱歃浹炠烚狎狭狹珨瑕睱硖硤碬磍祫笚筪給縀縖翈舝舺葭蕸螛赮轄辖遐郃鍜鎋陜陿霞騢魻鶷黠
xia2|214,閕閜
xia3|51,㗿㙈㙤㰺丅下乤假厦吓呼哧唬嗄嚇圷夏夓廈懗昰暇梺煆疜睱罅芐諕謑鎼鏬
yan1A|55,㖶㛪㤿㥼㮒㸶䅖䅧䊙䑍䗎䗡䛳䞛䣍偣傿剦厭咽墕奄嫣嬮崦嶖弇恹懕懨樮橪殗殷洇淊淹湮漹烟焉焑煙燕珚硽篶胭腌臙菸蔫郾鄢醃閹閼阉阏黫黰
yan1B|35,㗴㘖㘙㝚㫟㳂㵪㶄㺂㿕㿼䀋䀽䂴䇾䉷䓂䕾䖗䗡䢥䦲䪜䫡䲓䶫严厂厃厳唌啱嚴埏塩壛壧妍姸娫娮孍岩嵒嵓巌巖巗巡延挻揅昖楌檐櫩欕氤汧沿炎炏狠狿琂癌盐研硏碞礹筵簷綖羡羬膁芫莚蔅薟虤蜒衍言訁訮詽讠贗趼郔鉛鋋铅閆閻闫阎阽險顏顔颜鹽麙麣黬
yan2|214,㕣㚧㜝㢂㫃㭺䁙䄋䅖䌪䍾䎦䗺䣍䤷䲓䶮乵俨偃儼兖兗剡匽厣厭厴喭噞嚴埯夵奄媕嬐孍屵嵃嶮巘巚广庵弇愝戭扊抁捝掞掩揜晻曮棪椼檿櫩沇沿淊淹渰渷演琰瓛甗眼硽礹縯罨菴萒蝘衍裺褗覃躽遃郾酀酓錟閻阭隁隒靨顩魇魘鰋鶠黡黤黬黭黶鼴鼹齗齞齴龑
yan3|51,㛪㢛㦔㬫㭺㰽㳂㵪㷔㷳㷼䂩䄋䑍䛳䜩䞁䢭䨄䮗䳛䳡䳺䴏䶫但俺偐傿匽厌厭咽唁喭嚥囐堰墕妟姲嬊嬮嬿宴嵃彥彦懕掞掩揞敥晏暥曕曣棪椻殗沿洝涎淡淫溎滟演灎灔灧灩炎烻焔焰焱熖燄燕爓牪猒研砚硏硯艳艶艷葕蔫蜒裺覎觃觾言諺讌讞谚谳豓豔豣贋贗赝趼躽軅這酀酓酽醶醼釅閻隁雁顑餍饜騐験騴驗驠验鬳鳫鳱鴈鴳鷃鷰鹽麲
bian1A|55,䟍便扁揙煸牑猵獱甂砭稹笾箯籩糄編编臱萹蝙边辺邉邊鍽鞕鞭鯾鯿鳊
bian2|214,㦚䁵匾封惼扁疺碥稨窆糄編緶萹藊褊覵豍貶贬辨辯釆鴘鶣
bian3|51,㝸㣐㭓㲢㳎㳒㴜㵷㺕㺹䉸䐔䒪䛒䡢䪻便卞变変峅弁徧忭抃拚揙昪汳汴玣編緶缏艑苄覍變辡辧辨辩辫辮辯遍邲釆閞頨
bian5,炞边邊
dian1A|55,䀡䩇佔傎厧嵮巅巓巔拈掂攧敁槇槙滇玷甸瘨癫癲詀蹎顚顛颠齻
dian1B|35,䟍
dian2|214,㓠㚲㸃䍄䓦典嚸奌婰敟椣点猠痶碘蒧蕇跕踮點
dian3|51,㓠㚲㝪㞟㶘㼭佃唸坫垫埝墊壂奠婝店惦扂橂橝殿沾涎淀澱玷琔电甸癜磹簟腍蜓蜔鈿钿阽電靛頕驔
jian1A|55,㓺㔋㡨㦰㪠㭴㹇䌑䌠䓸䔐䘋䶢䶬傔兼冿咸喊囏坚堅奸姦姧孱尖帴幵惤戋戔揃搛攕椷椾樫櫼歼殱殲沮浅淺渐湔溅漸濺瀐瀸煎熞熸牋犍猏玪瑊监監睷碊礛稴笺箋篯籈籛緘縑纖缄缣肩艰艱菅菺葌蒹蔪蕑蕳虃覸豜豣趼軒銒鋑鋻鐧鑯閒間间靬鞬鞯韀韉餰馢鰔鰜鰹鲣鳒鳽鵳鶼鹣麉黚黬
