CH	UCODE	CRZJ_1	INIT	FINL	TONE	DESC	DESC_CRZJ_1
㖷	U+35B7	si1B|21	s	i	1B|21		
㖸	U+35B8	la1A|55	l	a	1A|55		
㖹	U+35B9	pen3A|33	p	en	3A|33		
㖺	U+35BA	coen2A|35	c	oen	2A|35		
㖻	U+35BB	neu1B|21	n	eu	1B|21		
㖻	U+35BB	leu1B|21	l	eu	1B|21		
㖼	U+35BC	meu1B|21	m	eu	1B|21		
㖽	U+35BD	zak4Ab|3	z	ak	4Ab|3		
㖾	U+35BE	ngok4B|2	ng	ok	4B|2		
㖾	U+35BE	ok4B|2		ok	4B|2		
㖿	U+35BF	jea2B|13	j	ea	2B|13		
㗀	U+35C0	jeu1A|55	j	eu	1A|55		
㗁	U+35C1	ngok4B|2	ng	ok	4B|2		
㗁	U+35C1	ok4B|2		ok	4B|2		
㗂	U+35C2	sang2A|35	s	ang	2A|35		
㗃	U+35C3	men2B|13	m	en	2B|13		
㗄	U+35C4	ku1A|55	k	u	1A|55		
㗄	U+35C4	kwu1A|55	kw	u	1A|55		
㗅	U+35C5	wu1B|21	w	u	1B|21		
㗆	U+35C6	gak4Ab|3	g	ak	4Ab|3		
㗇	U+35C7	ha1A|55	h	a	1A|55		
㗇	U+35C7	ga2B|13	g	a	2B|13		
㗈	U+35C8	man3B|22	m	an	3B|22		
㗉	U+35C9	leok4B|2	l	eok	4B|2		
㗊	U+35CA	loei1B|21	l	oei	1B|21		
㗋	U+35CB	heu1B|21	h	eu	1B|21		
㗌	U+35CC	zet4Aa|5	z	et	4Aa|5		
㗍	U+35CD	zai1A|55	z	ai	1A|55		
㗎	U+35CE	ga3A|33	g	a	3A|33		
㗎	U+35CE	ga1B|21	g	a	1B|21		
㗎	U+35CE	ga2A|35	g	a	2A|35		
㗏	U+35CF	wai1A|55	w	ai	1A|55		
㗐	U+35D0	hap4Ab|3	h	ap	4Ab|3		
㗑	U+35D1	bai3A|33	b	ai	3A|33		
㗒	U+35D2	oi1A|55		oi	1A|55		
㗒	U+35D2	ngoi1A|55	ng	oi	1A|55		
㗓	U+35D3	zoei1A|55	z	oei	1A|55		
㗔	U+35D4	hin1A|55	h	in	1A|55		
㗕	U+35D5	geu3A|33	g	eu	3A|33		
㗖	U+35D6	dam3B|22	d	am	3B|22		
㗗	U+35D7	beai2A|35	b	eai	2A|35		
㗘	U+35D8	bok4Ab|3	b	ok	4Ab|3		
㗙	U+35D9	co1A|55	c	o	1A|55		
㗚	U+35DA	loet4B|2	l	oet	4B|2		
㗛	U+35DB	siu3A|33	s	iu	3A|33		
㗜	U+35DC	ceu3A|33	c	eu	3A|33		
㗝	U+35DD	gou1A|55	g	ou	1A|55		
㗞	U+35DE	po3A|33	p	o	3A|33		
㗟	U+35DF	zyu3A|33	z	yu	3A|33		
㗠	U+35E0	ci2A|35	c	i	2A|35		
㗡	U+35E1	jing1B|21	j	ing	1B|21		
㗢	U+35E2	hung1B|21	h	ung	1B|21		
㗣	U+35E3	tei3A|33	t	ei	3A|33		
㗤	U+35E4	zuk4Aa|5	z	uk	4Aa|5		
㗥	U+35E5	kwok4Ab|3	kw	ok	4Ab|3		
㗥	U+35E5	kok4Ab|3	k	ok	4Ab|3		
㗦	U+35E6	lou1B|21	l	ou	1B|21		
㗧	U+35E7	zet4Aa|5	z	et	4Aa|5		
㗨	U+35E8	hai1A|55	h	ai	1A|55		
㗩	U+35E9	sep4Aa|5	s	ep	4Aa|5		
㗪	U+35EA	peai1A|55	p	eai	1A|55		
㗫	U+35EB	cit4Ab|3	c	it	4Ab|3		
㗬	U+35EC	za1A|55	z	a	1A|55		
㗭	U+35ED	sik4Aa|5	s	ik	4Aa|5		
㗮	U+35EE	geng1A|55	g	eng	1A|55		
㗯	U+35EF	zea2A|35	z	ea	2A|35		
㗰	U+35F0	cung1B|21	c	ung	1B|21		
㗱	U+35F1	zap4B|2	z	ap	4B|2		
㗱	U+35F1	zeap4B|2	z	eap	4B|2		
㗲	U+35F2	wak4Aa|5	w	ak	4Aa|5		
㗳	U+35F3	dep4Aa|5	d	ep	4Aa|5		
㗴	U+35F4	ngan1B|21	ng	an	1B|21		
㗴	U+35F4	an1B|21		an	1B|21		
㗵	U+35F5	fet4Aa|5	f	et	4Aa|5		
㗶	U+35F6	put4Ab|3	p	ut	4Ab|3		
㗷	U+35F7	coi3A|33	c	oi	3A|33		
㗸	U+35F8	ham1B|21	h	am	1B|21		
㗹	U+35F9	wei1B|21	w	ei	1B|21		
㗺	U+35FA	sap4Ab|3	s	ap	4Ab|3		
㗻	U+35FB	go3B|22	g	o	3B|22		
㗼	U+35FC	jip4B|2	j	ip	4B|2		
㗽	U+35FD	heong2A|35	h	eong	2A|35		
㗾	U+35FE	heo1A|55	h	eo	1A|55		
㗾	U+35FE	heo1B|21	h	eo	1B|21		
㗿	U+35FF	ho1A|55	h	o	1A|55		
㘀	U+3600	zok4Ab|3	z	ok	4Ab|3		
㘁	U+3601	jik4B|2	j	ik	4B|2		
㘂	U+3602	ci1B|21	c	i	1B|21		
㘃	U+3603	jea2B|13	j	ea	2B|13		
㘄	U+3604	leng1A|55	l	eng	1A|55		
㘅	U+3605	ham1B|21	h	am	1B|21		
㘆	U+3606	toi2A|35	t	oi	2A|35		
㘇	U+3607	wing1B|21	w	ing	1B|21		
㘈	U+3608	jik4B|2	j	ik	4B|2		
㘉	U+3609	zik4Aa|5	z	ik	4Aa|5		
㘉	U+3609	zit4Aa|5	z	it	4Aa|5		
㘊	U+360A	kep4Aa|5	k	ep	4Aa|5		
㘋	U+360B	jin1B|21	j	in	1B|21		
㘌	U+360C	keok4B|2	k	eok	4B|2		
㘍	U+360D	zet4Aa|5	z	et	4Aa|5		
㘎	U+360E	ham3A|33	h	am	3A|33		
㘎	U+360E	ham2A|35	h	am	2A|35		
㘏	U+360F	dou3B|22	d	ou	3B|22		
㘐	U+3610	pau3A|33	p	au	3A|33		
㘑	U+3611	lei3B|22	l	ei	3B|22		
㘒	U+3612	zung2A|35	z	ung	2A|35		
㘓	U+3613	lan1B|21	l	an	1B|21		
㘔	U+3614	coi3A|33	c	oi	3A|33		
㘕	U+3615	ham3A|33	h	am	3A|33		
㘖	U+3616	ngan1B|21	ng	an	1B|21		
㘖	U+3616	an1B|21		an	1B|21		
㘗	U+3617	koei1A|55	k	oei	1A|55		
㘘	U+3618	lyun2A|35	l	yun	2A|35		
㘙	U+3619	ngam1B|21	ng	am	1B|21		
㘙	U+3619	am1B|21		am	1B|21		
㘚	U+361A	ham3A|33	h	am	3A|33		
㘚	U+361A	ham2A|35	h	am	2A|35		
㘛	U+361B	hem1A|55	h	em	1A|55		
㘜	U+361C	ceu1B|21	c	eu	1B|21		
㘝	U+361D	nap4B|2	n	ap	4B|2		
㘝	U+361D	lap4B|2	l	ap	4B|2		
㘞	U+361E	wo3B|22	w	o	3B|22		
㘟	U+361F	ceong1A|55	c	eong	1A|55		
㘠	U+3620	bik4Aa|5	b	ik	4Aa|5		
㘡	U+3621	hap4B|2	h	ap	4B|2		
㘢	U+3622	weng2A|35	w	eng	2A|35		
㘣	U+3623	syun1B|21	s	yun	1B|21		
㘤	U+3624	wan1A|55	w	an	1A|55		
㘥	U+3625	jeu1B|21	j	eu	1B|21		
㘥	U+3625	ngo1B|21	ng	o	1B|21		
㘥	U+3625	o1B|21		o	1B|21		
㘦	U+3626	ken1B|21	k	en	1B|21		
㘧	U+3627	zoei3B|22	z	oei	3B|22		
㘨	U+3628	nip4B|2	n	ip	4B|2		
㘨	U+3628	lip4B|2	l	ip	4B|2		
㘩	U+3629	beai3B|22	b	eai	3B|22		
㘪	U+362A	hou3A|33	h	ou	3A|33		
㘫	U+362B	ging2A|35	g	ing	2A|35		
㘬	U+362C	au3A|33		au	3A|33		
㘬	U+362C	ngau3A|33	ng	au	3A|33		
㘭	U+362D	au3A|33		au	3A|33		
㘭	U+362D	ngau3A|33	ng	au	3A|33		
㘭	U+362D	au1A|55		au	1A|55		
㘭	U+362D	ngau1A|55	ng	au	1A|55		
㘮	U+362E	jik4B|2	j	ik	4B|2		
㘯	U+362F	ceong1B|21	c	eong	1B|21		
㘰	U+3630	zem1A|55	z	em	1A|55		
㘱	U+3631	tan1A|55	t	an	1A|55		
㘲	U+3632	guk4Aa|5	g	uk	4Aa|5		
㘳	U+3633	jeu1A|55	j	eu	1A|55		
㘴	U+3634	zo3B|22	z	o	3B|22		
㘵	U+3635	bou3A|33	b	ou	3A|33		
㘶	U+3636	git4B|2	g	it	4B|2		
㘷	U+3637	ngai3B|22	ng	ai	3B|22		
㘷	U+3637	ai3B|22		ai	3B|22		
㘸	U+3638	zong3A|33	z	ong	3A|33		
㘹	U+3639	ci1B|21	c	i	1B|21		
㘺	U+363A	fet4B|2	f	et	4B|2		
㘻	U+363B	jen1A|55	j	en	1A|55		
㘼	U+363C	hau2A|35	h	au	2A|35		
㘽	U+363D	zoi1A|55	z	oi	1A|55		
㘾	U+363E	jyu2B|13	j	yu	2B|13		
㘿	U+363F	nit4B|2	n	it	4B|2		
㘿	U+363F	lit4B|2	l	it	4B|2		
㙀	U+3640	leu3B|22	l	eu	3B|22		
㙁	U+3641	mui1B|21	m	ui	1B|21		
㙂	U+3642	doei3B|22	d	oei	3B|22		
㙃	U+3643	beng1A|55	b	eng	1A|55		
㙄	U+3644	bei3B|22	b	ei	3B|22		
㙅	U+3645	bou2A|35	b	ou	2A|35		
㙆	U+3646	weng1B|21	w	eng	1B|21		
㙇	U+3647	cuk4Aa|5	c	uk	4Aa|5		
㙈	U+3648	ha3A|33	h	a	3A|33		
㙉	U+3649	tin2A|35	t	in	2A|35		
㙊	U+364A	ceong1B|21	c	eong	1B|21		
㙋	U+364B	geai1A|55	g	eai	1A|55		
㙌	U+364C	suk4Aa|5	s	uk	4Aa|5		
㙍	U+364D	zoei3A|33	z	oei	3A|33		
㙎	U+364E	wei1A|55	w	ei	1A|55		
㙏	U+364F	fuk4Aa|5	f	uk	4Aa|5		
㙐	U+3650	do2A|35	d	o	2A|35		
㙑	U+3651	jyu2B|13	j	yu	2B|13		
㙒	U+3652	jea2B|13	j	ea	2B|13		
㙓	U+3653	kwei1B|21	kw	ei	1B|21		
㙔	U+3654	wei2B|13	w	ei	2B|13		
㙕	U+3655	fai3A|33	f	ai	3A|33		
㙖	U+3656	jyu2B|13	j	yu	2B|13		
㙗	U+3657	wui1A|55	w	ui	1A|55		
㙘	U+3658	jiu1A|55	j	iu	1A|55		
㙙	U+3659	lung2B|13	l	ung	2B|13		
㙚	U+365A	sing1A|55	s	ing	1A|55		
㙛	U+365B	bou2A|35	b	ou	2A|35		
㙜	U+365C	kok4Ab|3	k	ok	4Ab|3		
㙝	U+365D	hip4Ab|3	h	ip	4Ab|3		
㙞	U+365E	nget4B|2	ng	et	4B|2		
㙞	U+365E	et4B|2		et	4B|2		
㙟	U+365F	long2B|13	l	ong	2B|13		
㙠	U+3660	ei1A|55		ei	1A|55		
㙠	U+3660	ngei1A|55	ng	ei	1A|55		
㙡	U+3661	zung1A|55	z	ung	1A|55		
㙢	U+3662	mun1B|21	m	un	1B|21		
㙣	U+3663	zeong3A|33	z	eong	3A|33		
㙤	U+3664	la3A|33	l	a	3A|33		
㙥	U+3665	gwen3A|33	gw	en	3A|33		
㙦	U+3666	cea1B|21	c	ea	1B|21		
㙧	U+3667	leu3B|22	l	eu	3B|22		
㙨	U+3668	geai1A|55	g	eai	1A|55		
㙩	U+3669	liu1B|21	l	iu	1B|21		
㙪	U+366A	ei3A|33		ei	3A|33		
㙪	U+366A	ngei3A|33	ng	ei	3A|33		
㙫	U+366B	cep4Aa|5	c	ep	4Aa|5		
㙬	U+366C	ngen1B|21	ng	en	1B|21		
㙬	U+366C	en1B|21		en	1B|21		
㙭	U+366D	kyut4Ab|3	k	yut	4Ab|3		
㙮	U+366E	dap4Ab|3	d	ap	4Ab|3		
㙯	U+366F	ngei3B|22	ng	ei	3B|22		
㙯	U+366F	ei3B|22		ei	3B|22		
㙰	U+3670	hai2B|13	h	ai	2B|13		
㙱	U+3671	gou2A|35	g	ou	2A|35		
㙲	U+3672	jung1A|55	j	ung	1A|55		
㙳	U+3673	hem2A|35	h	em	2A|35		
㙴	U+3674	cim3A|33	c	im	3A|33		
㙵	U+3675	toi1B|21	t	oi	1B|21		
㙶	U+3676	tong1B|21	t	ong	1B|21		
㙷	U+3677	zap4B|2	z	ap	4B|2		
㙸	U+3678	pok4Ab|3	p	ok	4Ab|3		
㙹	U+3679	mung3B|22	m	ung	3B|22		
㙺	U+367A	kwei1B|21	kw	ei	1B|21		
㙻	U+367B	cin1B|21	c	in	1B|21		
㙼	U+367C	loei2B|13	l	oei	2B|13		
㙽	U+367D	sik4Aa|5	s	ik	4Aa|5		
㙾	U+367E	hok4B|2	h	ok	4B|2		
㙿	U+367F	heai1A|55	h	eai	1A|55		
㚀	U+3680	heai1A|55	h	eai	1A|55		
㚁	U+3681	kiu3A|33	k	iu	3A|33		
㚂	U+3682	nong3B|22	n	ong	3B|22		
㚂	U+3682	long3B|22	l	ong	3B|22		
㚃	U+3683	wen1A|55	w	en	1A|55		
㚄	U+3684	zi3A|33	z	i	3A|33		
㚅	U+3685	lung1B|21	l	ung	1B|21		
㚆	U+3686	fuk4B|2	f	uk	4B|2		
㚇	U+3687	zung1A|55	z	ung	1A|55		
㚈	U+3688	ngoi3B|22	ng	oi	3B|22		
㚈	U+3688	oi3B|22		oi	3B|22		
㚉	U+3689	gu2A|35	g	u	2A|35		
㚉	U+3689	gwu2A|35	gw	u	2A|35		
㚊	U+368A	hoi1A|55	h	oi	1A|55		
㚋	U+368B	diu1A|55	d	iu	1A|55		
㚌	U+368C	fo2A|35	f	o	2A|35		
㚍	U+368D	fui2A|35	f	ui	2A|35		
㚎	U+368E	hoei3A|33	h	oei	3A|33		
㚏	U+368F	gou2A|35	g	ou	2A|35		
㚐	U+3690	tou3A|33	t	ou	3A|33		
㚑	U+3691	ling1B|21	l	ing	1B|21		
㚒	U+3692	sim2A|35	s	im	2A|35		
㚓	U+3693	loi1B|21	l	oi	1B|21		
㚔	U+3694	nip4B|2	n	ip	4B|2		
㚔	U+3694	lip4B|2	l	ip	4B|2		
㚕	U+3695	bet4B|2	b	et	4B|2		
㚖	U+3696	gou2A|35	g	ou	2A|35		
㚗	U+3697	cea1B|21	c	ea	1B|21		
㚘	U+3698	bun3B|22	b	un	3B|22		
㚙	U+3699	ga1A|55	g	a	1A|55		
㚚	U+369A	kweng1A|55	kw	eng	1A|55		
㚛	U+369B	hei3A|33	h	ei	3A|33		
㚜	U+369C	wik4B|2	w	ik	4B|2		
㚝	U+369D	zoei1A|55	z	oei	1A|55		
㚞	U+369E	sem2A|35	s	em	2A|35		
㚟	U+369F	ceok4Ab|3	c	eok	4Ab|3		
㚠	U+36A0	hiu1A|55	h	iu	1A|55		
㚡	U+36A1	geai2A|35	g	eai	2A|35		
㚢	U+36A2	nou1B|21	n	ou	1B|21		
㚢	U+36A2	lou1B|21	l	ou	1B|21		
㚣	U+36A3	gau2A|35	g	au	2A|35		
㚤	U+36A4	jik4B|2	j	ik	4B|2		
㚥	U+36A5	jyu1A|55	j	yu	1A|55		
㚦	U+36A6	geai1A|55	g	eai	1A|55		
㚧	U+36A7	cim1A|55	c	im	1A|55		
㚨	U+36A8	sen1A|55	s	en	1A|55		
㚩	U+36A9	jim2B|13	j	im	2B|13		
㚪	U+36AA	hou3A|33	h	ou	3A|33		
㚫	U+36AB	sap4Ab|3	s	ap	4Ab|3		
㚬	U+36AC	gwen1A|55	gw	en	1A|55		
㚭	U+36AD	jeu1B|21	j	eu	1B|21		
㚮	U+36AE	dam1A|55	d	am	1A|55		
㚯	U+36AF	cem1B|21	c	em	1B|21		
㚰	U+36B0	pui1A|55	p	ui	1A|55		
㚱	U+36B1	jeu1A|55	j	eu	1A|55		
㚲	U+36B2	cim1A|55	c	im	1A|55		
㚳	U+36B3	a3A|33		a	3A|33		
㚳	U+36B3	nga3A|33	ng	a	3A|33		
㚴	U+36B4	pou3A|33	p	ou	3A|33		
㚵	U+36B5	dung1A|55	d	ung	1A|55		
㚶	U+36B6	ci2B|13	c	i	2B|13		
㚷	U+36B7	nai2B|13	n	ai	2B|13		
㚷	U+36B7	lai2B|13	l	ai	2B|13		
㚸	U+36B8	si1A|55	s	i	1A|55		
㚹	U+36B9	mau1B|21	m	au	1B|21		
㚺	U+36BA	jen3B|22	j	en	3B|22		
㚻	U+36BB	gei1A|55	g	ei	1A|55		
㚼	U+36BC	neu2A|35	n	eu	2A|35		
㚼	U+36BC	leu2A|35	l	eu	2A|35		
㚽	U+36BD	hau2A|35	h	au	2A|35		
㚾	U+36BE	hing1A|55	h	ing	1A|55		
㚿	U+36BF	bau1A|55	b	au	1A|55		
㛀	U+36C0	co1B|21	c	o	1B|21		
㛁	U+36C1	pang1A|55	p	ang	1A|55		
㛂	U+36C2	no1B|21	n	o	1B|21		
㛂	U+36C2	lo1B|21	l	o	1B|21		
㛃	U+36C3	git4Ab|3	g	it	4Ab|3		
㛄	U+36C4	ji1A|55	j	i	1A|55		
㛅	U+36C5	neai3B|22	n	eai	3B|22		
㛅	U+36C5	leai3B|22	l	eai	3B|22		
㛆	U+36C6	do3A|33	d	o	3A|33		
㛇	U+36C7	zong1A|55	z	ong	1A|55		
㛈	U+36C8	hau2A|35	h	au	2A|35		
㛉	U+36C9	jiu3A|33	j	iu	3A|33		
㛊	U+36CA	do3A|33	d	o	3A|33		
㛋	U+36CB	neai2B|13	n	eai	2B|13		
㛋	U+36CB	leai2B|13	l	eai	2B|13		
㛌	U+36CC	meu1B|21	m	eu	1B|21		
㛍	U+36CD	hip4Ab|3	h	ip	4Ab|3		
㛎	U+36CE	loei2B|13	l	oei	2B|13		
㛏	U+36CF	keu1B|21	k	eu	1B|21		
㛐	U+36D0	sou2A|35	s	ou	2A|35		
㛑	U+36D1	can3A|33	c	an	3A|33		
㛒	U+36D2	deu3B|22	d	eu	3B|22		
㛓	U+36D3	heai1A|55	h	eai	1A|55		
㛔	U+36D4	fung1A|55	f	ung	1A|55		
㛕	U+36D5	jep4Aa|5	j	ep	4Aa|5		
㛖	U+36D6	so1A|55	s	o	1A|55		
㛗	U+36D7	cea1A|55	c	ea	1A|55		
㛘	U+36D8	put4Ab|3	p	ut	4Ab|3		
㛙	U+36D9	sen1A|55	s	en	1A|55		
㛚	U+36DA	tung2A|35	t	ung	2A|35		
㛛	U+36DB	sen1A|55	s	en	1A|55		
㛜	U+36DC	jeu1B|21	j	eu	1B|21		
㛝	U+36DD	bui3A|33	b	ui	3A|33		
㛞	U+36DE	lung3B|22	l	ung	3B|22		
㛟	U+36DF	wun3B|22	w	un	3B|22		
㛠	U+36E0	han2B|13	h	an	2B|13		
㛡	U+36E1	wen3B|22	w	en	3B|22		
㛢	U+36E2	seu3A|33	s	eu	3A|33		
㛣	U+36E3	wen1B|21	w	en	1B|21		
㛤	U+36E4	leai1B|21	l	eai	1B|21		
㛥	U+36E5	tap4Ab|3	t	ap	4Ab|3		
㛦	U+36E6	lem2B|13	l	em	2B|13		
㛧	U+36E7	men2B|13	m	en	2B|13		
㛨	U+36E8	keong2A|35	k	eong	2A|35		
㛩	U+36E9	zuk4B|2	z	uk	4B|2		
㛪	U+36EA	jim3A|33	j	im	3A|33		
㛫	U+36EB	sik4Aa|5	s	ik	4Aa|5		
㛬	U+36EC	luk4B|2	l	uk	4B|2		
㛭	U+36ED	sik4Aa|5	s	ik	4Aa|5		
㛮	U+36EE	sou2A|35	s	ou	2A|35		
㛯	U+36EF	fan3A|33	f	an	3A|33		
㛰	U+36F0	fen1A|55	f	en	1A|55		
㛱	U+36F1	wui2A|35	w	ui	2A|35		
㛲	U+36F2	fat4Ab|3	f	at	4Ab|3		
㛳	U+36F3	jei3B|22	j	ei	3B|22		
㛴	U+36F4	nou2B|13	n	ou	2B|13		
㛴	U+36F4	lou2B|13	l	ou	2B|13		
㛵	U+36F5	cing1A|55	c	ing	1A|55		
㛶	U+36F6	tan3A|33	t	an	3A|33		
㛷	U+36F7	gei1A|55	g	ei	1A|55		
㛸	U+36F8	syu3B|22	s	yu	3B|22		
㛹	U+36F9	pin1B|21	p	in	1B|21		
㛺	U+36FA	jem1A|55	j	em	1A|55		
㛻	U+36FB	wai1A|55	w	ai	1A|55		
㛼	U+36FC	cap4Ab|3	c	ap	4Ab|3		
㛽	U+36FD	san1A|55	s	an	1A|55		
㛾	U+36FE	ham1B|21	h	am	1B|21		
㛿	U+36FF	dai3A|33	d	ai	3A|33		
㜀	U+3700	seong1A|55	s	eong	1A|55		
㜁	U+3701	ca1B|21	c	a	1B|21		
㜂	U+3702	fung1A|55	f	ung	1A|55		
㜃	U+3703	lyun2A|35	l	yun	2A|35		
㜄	U+3704	cem1B|21	c	em	1B|21		
㜅	U+3705	huk4Aa|5	h	uk	4Aa|5		
㜆	U+3706	mei3B|22	m	ei	3B|22		
㜇	U+3707	wei3A|33	w	ei	3A|33		
㜈	U+3708	muk4B|2	m	uk	4B|2		
㜉	U+3709	jung1A|55	j	ung	1A|55		
㜊	U+370A	zin2A|35	z	in	2A|35		
㜋	U+370B	jik4Aa|5	j	ik	4Aa|5		
㜌	U+370C	neu2B|13	n	eu	2B|13		
㜌	U+370C	leu2B|13	l	eu	2B|13		
㜍	U+370D	tong1B|21	t	ong	1B|21		
㜎	U+370E	hei1B|21	h	ei	1B|21		
㜏	U+370F	wen1B|21	w	en	1B|21		
㜐	U+3710	syu3B|22	s	yu	3B|22		
㜑	U+3711	po1B|21	p	o	1B|21		
㜒	U+3712	ngei3B|22	ng	ei	3B|22		
㜒	U+3712	ei3B|22		ei	3B|22		
㜓	U+3713	dap4Ab|3	d	ap	4Ab|3		
㜔	U+3714	ging2A|35	g	ing	2A|35		
㜕	U+3715	lin1B|21	l	in	1B|21		
㜖	U+3716	cou1B|21	c	ou	1B|21		
㜗	U+3717	cam1A|55	c	am	1A|55		
㜘	U+3718	zea1A|55	z	ea	1A|55		
㜙	U+3719	luk4B|2	l	uk	4B|2		
㜚	U+371A	suk4Aa|5	s	uk	4Aa|5		
㜛	U+371B	jyun2B|13	j	yun	2B|13		
㜜	U+371C	ngou3B|22	ng	ou	3B|22		
㜜	U+371C	ou3B|22		ou	3B|22		
㜝	U+371D	ngem2B|13	ng	em	2B|13		
㜝	U+371D	em2B|13		em	2B|13		
㜞	U+371E	cim3A|33	c	im	3A|33		
㜟	U+371F	ham3A|33	h	am	3A|33		
㜠	U+3720	coei1A|55	c	oei	1A|55		
㜡	U+3721	cung1A|55	c	ung	1A|55		
㜢	U+3722	loei2B|13	l	oei	2B|13		
㜣	U+3723	jin1B|21	j	in	1B|21		
㜤	U+3724	nim2B|13	n	im	2B|13		
㜤	U+3724	lim2B|13	l	im	2B|13		
㜥	U+3725	mai1B|21	m	ai	1B|21		
㜦	U+3726	cem1B|21	c	em	1B|21		
㜧	U+3727	jyut4Ab|3	j	yut	4Ab|3		
㜨	U+3728	nai1B|21	n	ai	1B|21		
㜨	U+3728	lai1B|21	l	ai	1B|21		
㜩	U+3729	ou3A|33		ou	3A|33		
㜩	U+3729	ngou3A|33	ng	ou	3A|33		
㜪	U+372A	sen1A|55	s	en	1A|55		
㜫	U+372B	meai2B|13	m	eai	2B|13		
㜬	U+372C	dam1A|55	d	am	1A|55		
㜭	U+372D	dong1A|55	d	ong	1A|55		
㜮	U+372E	lam3B|22	l	am	3B|22		
㜯	U+372F	heai1A|55	h	eai	1A|55		
㜰	U+3730	jeok4B|2	j	eok	4B|2		
㜱	U+3731	zet4Aa|5	z	et	4Aa|5		
㜲	U+3732	jing1B|21	j	ing	1B|21		
㜳	U+3733	wai1B|21	w	ai	1B|21		
㜴	U+3734	meng3B|22	m	eng	3B|22		
㜵	U+3735	niu2B|13	n	iu	2B|13		
㜵	U+3735	liu2B|13	l	iu	2B|13		
㜶	U+3736	min2B|13	m	in	2B|13		
㜷	U+3737	nai2B|13	n	ai	2B|13		
㜷	U+3737	lai2B|13	l	ai	2B|13		
㜸	U+3738	jit4B|2	j	it	4B|2		
㜸	U+3738	jip4B|2	j	ip	4B|2		
㜹	U+3739	koei1B|21	k	oei	1B|21		
𤾆	U+24F86	deu1A|55	d	eu	1A|55		
𠝹	U+20779	gai3A|33	g	ai	3A|33		
𥀬	U+2502C	jim2A|35	j	im	2A|35		
𥊙	U+25299	zong1A|55	z	ong	1A|55		
𥐙	U+25419	pat4Ab|3	p	at	4Ab|3		
𣽊	U+23F4A	zoen3A|33	z	oen	3A|33		
𤪧	U+24AA7	fung3B|22	f	ung	3B|22		
𥑆	U+25446	ga1A|55	g	a	1A|55		
𥑮	U+2546E	gu2A|35	g	u	2A|35		
𥑮	U+2546E	gwu2A|35	gw	u	2A|35		
𦭒	U+26B52	zing3A|33	z	ing	3A|33		
𥔿	U+2553F	hem2A|35	h	em	2A|35		
𧘲	U+27632	zi2A|35	z	i	2A|35		
𥕞	U+2555E	zeong1A|55	z	eong	1A|55		
𥕢	U+25562	cou1B|21	c	ou	1B|21		
𥕦	U+25566	gwen2A|35	gw	en	2A|35		
𥟇	U+257C7	keu1B|21	k	eu	1B|21		
𤤿	U+2493F	bak4Ab|3	b	ak	4Ab|3		
𥡝	U+2585D	gim1A|55	g	im	1A|55		
𣏌	U+233CC	zi3B|22	z	i	3B|22		
𥤃	U+25903	jeu2B|13	j	eu	2B|13		
𨥈	U+28948	geai2A|35	g	eai	2A|35		
𥪮	U+25AAE	zeong1A|55	z	eong	1A|55		
𥮉	U+25B89	pou1B|21	p	ou	1B|21		
𥰆	U+25C06	dei3A|33	d	ei	3A|33		
𡶐	U+21D90	kea1B|21	k	ea	1B|21		
𦄂	U+26102	dai3A|33	d	ai	3A|33		
𧰒	U+27C12	gwok4Ab|3	gw	ok	4Ab|3		
𧰒	U+27C12	gok4Ab|3	g	ok	4Ab|3		
𦆲	U+261B2	liu3B|22	l	iu	3B|22		
𤾚	U+24F9A	jit4B|2	j	it	4B|2		
𦐂	U+26402	jik4B|2	j	ik	4B|2		
𦑊	U+2644A	zing1A|55	z	ing	1A|55		
𦯷	U+26BF7	miu3B|22	m	iu	3B|22		
𦒄	U+26484	wei3B|22	w	ei	3B|22		
𡤜	U+2191C	ji3A|33	j	i	3A|33		
𤧶	U+249F6	ha3B|22	h	a	3B|22		
𦒈	U+26488	si1A|55	s	i	1A|55		
𣿯	U+23FEF	sem1A|55	s	em	1A|55		
𦔒	U+26512	zi1A|55	z	i	1A|55		
𦖿	U+265BF	dep4Aa|5	d	ep	4Aa|5		
𦚵	U+266B5	sei1A|55	s	ei	1A|55		
𢜛	U+2271B	jen1A|55	j	en	1A|55		
𥟡	U+257E1	zung1A|55	z	ung	1A|55		
晉	U+2F8CD	zoen3A|33	z	oen	3A|33		
𤔡	U+24521	wei1B|21	w	ei	1B|21		
𦛼	U+266FC	bing1A|55	b	ing	1A|55		
𤤴	U+24934	gok4Ab|3	g	ok	4Ab|3		
𦲽	U+26CBD	jen1A|55	j	en	1A|55		
𦞙	U+26799	doei2A|35	d	oei	2A|35		
𦡮	U+2686E	pou2A|35	p	ou	2A|35		
𦐑	U+26411	ci3A|33	c	i	3A|33		
𦡞	U+2685E	gem3A|33	g	em	3A|33		
𦣇	U+268C7	lo1A|55	l	o	1A|55		
𩃀	U+290C0	jin3B|22	j	in	3B|22		
𠨑	U+20A11	mong1B|21	m	ong	1B|21		
𦤦	U+26926	hot4Ab|3	h	ot	4Ab|3		
𦤹	U+26939	zi3A|33	z	i	3A|33		
𦧺	U+269FA	lai2A|35	l	ai	2A|35		
𦨭	U+26A2D	peai1B|21	p	eai	1B|21		
𦑩	U+26469	fei1A|55	f	ei	1A|55		
